"Player","Salary (mils)","College (in US)","Position","Team","Games Played","Age","Free Throw %","3 Point %","True Shootings %"
"Mike Muscala",3.5,"Bucknell","C","TOT",63,31,0.769,0.391,0.608
"Jordan Poole",3.901399,"Michigan","PG","GSW",82,23,0.87,0.336,0.573
"Damion Lee",2.133278,"Drexel","SG","PHO",74,30,0.904,0.445,0.607
"Josh Okogie",1.968175,"Georgia Tech","SG","PHO",72,24,0.724,0.335,0.531
"Talen Horton-Tucker",10.26,"Iowa State","SG","UTA",65,22,0.75,0.286,0.508
"Jarrett Allen",20,"Texas","C","CLE",68,24,0.733,0.1,0.67
"Jarrett Culver",0.260295,"Texas Tech","SF","ATL",10,23,0.692,0.083,0.452
"Wesley Matthews",2.905851,"Marquette","SF","MIL",52,36,0.857,0.315,0.519
"Georges Niang",3.465,"Iowa State","PF","PHI",78,29,0.867,0.401,0.61
"John Konchar",2.3,"Indiana-Purdue Fort Wayne","SF","MEM",72,26,0.778,0.339,0.542
"George Hill",4,"Indiana-Purdue Indianapolis","PG-SG","TOT",46,36,0.764,0.358,0.61
"James Johnson",3.841067,"Wake Forest","PF","IND",18,35,0.5,0.2,0.486
"Evan Fournier",18,"None","SG","NYK",27,30,0.857,0.307,0.471
"Cole Anthony",3.61368,"North Carolina","PG","ORL",60,22,0.894,0.364,0.57
"Cody Martin",7,"Nevada","SF","CHO",7,27,0.571,0.214,0.448
"Blake Griffin",2.905851,"Oklahoma","C","BOS",41,33,0.656,0.348,0.59
"Shai Gilgeous-Alexander",30.91375,"Kentucky","PG","OKC",68,24,0.905,0.345,0.626
"Damian Jones",2.298385,"Vanderbilt","C","TOT",41,27,0.759,0.588,0.719
"Mikal Bridges",20.1,"Villanova","SF-SG","TOT",83,26,0.895,0.382,0.587
"Naji Marshall",1.782621,"Xavier","SF","NOP",77,25,0.789,0.303,0.539
"Al Horford",26.5,"Florida","C","BOS",63,36,0.714,0.446,0.631
"Chris Paul",28.4,"Wake Forest","PG","PHO",59,37,0.831,0.375,0.555
"Facundo Campazzo",0.464299,"None","PG","DAL",8,31,0.5,0.273,0.36
"Alec Burks",10.0128,"Colorado","SG","DET",51,31,0.814,0.414,0.602
"Will Barton",15.059712,"Memphis","SG","TOT",56,32,0.787,0.367,0.493
"Robert Covington",12.307692,"Tennessee State","PF","LAC",48,32,0.75,0.397,0.584
"Torrey Craig",5.121951,"South Carolina Upstate","PF","PHO",79,32,0.711,0.395,0.566
"Tre Mann",3.0462,"Florida","PG","OKC",67,21,0.764,0.315,0.492
